City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
96,Saint-Pierre,RE,2021-12-13 00:35:56,-21.3393,55.4781,76.68,75,0,17.27,clear sky
97,Cabedelo,BR,2021-12-13 00:35:55,-6.9811,-34.8339,79.47,79,57,11.1,broken clouds
98,Victoria,HK,2021-12-13 00:32:08,22.2855,114.1577,66.25,71,5,1.99,clear sky
99,Lebu,CL,2021-12-13 00:35:37,-37.6167,-73.65,52.88,80,28,8.12,scattered clouds
100,Ponta Do Sol,PT,2021-12-13 00:35:50,32.6667,-17.1,64.13,78,26,1.05,scattered clouds
101,General Roca,AR,2021-12-13 00:44:34,-39.0333,-67.5833,66.61,30,9,22.35,clear sky
102,Pangnirtung,CA,2021-12-13 00:35:32,66.1451,-65.7125,-4.99,70,63,7.56,broken clouds
103,Mahibadhoo,MV,2021-12-13 00:36:46,3.7833,72.9667,80.2,81,100,8.3,overcast clouds
104,Dire Dawa,ET,2021-12-13 00:37:14,9.5931,41.8661,63.97,71,56,2.55,broken clouds
105,Grand Gaube,MU,2021-12-13 00:36:02,-20.0064,57.6608,73.8,76,6,3.0,clear sky
106,Najran,SA,2021-12-13 00:41:02,17.4924,44.1277,48.85,69,0,0.78,clear sky
107,Karanja,IN,2021-12-13 00:44:35,20.4833,77.4833,60.46,62,31,6.69,scattered clouds
108,Xuddur,SO,2021-12-13 00:44:35,4.1213,43.8894,72.54,78,95,16.2,overcast clouds
109,Mgandu,TZ,2021-12-13 00:44:35,-5.95,34.1333,62.82,92,83,6.87,broken clouds
110,Mar Del Plata,AR,2021-12-13 00:35:21,-38.0023,-57.5575,66.22,85,0,10.0,clear sky
111,Sisimiut,GL,2021-12-13 00:35:48,66.9395,-53.6735,15.39,84,22,9.31,few clouds
112,Coquimbo,CL,2021-12-13 00:36:56,-29.9533,-71.3436,62.33,77,0,10.36,clear sky
113,Torbay,CA,2021-12-13 00:35:20,47.6666,-52.7314,42.58,92,90,28.77,overcast clouds
114,Visby,SE,2021-12-13 00:44:36,57.6409,18.296,32.22,93,75,6.91,broken clouds
115,Coxim,BR,2021-12-13 00:42:19,-18.5067,-54.76,76.57,90,100,4.09,heavy intensity rain
116,Saint George,US,2021-12-13 00:34:22,37.1041,-113.5841,50.47,41,1,4.0,clear sky
117,Husavik,IS,2021-12-13 00:34:29,66.0449,-17.3389,37.31,79,100,14.2,overcast clouds
118,Sol-Iletsk,RU,2021-12-13 00:44:37,51.1631,54.9918,12.42,83,2,3.91,clear sky
119,Conceicao Do Araguaia,BR,2021-12-13 00:44:37,-8.2578,-49.2647,75.42,93,100,2.95,overcast clouds
120,Narsaq,GL,2021-12-13 00:36:58,60.9167,-46.05,16.02,77,36,9.82,scattered clouds
121,Phalaborwa,ZA,2021-12-13 00:43:24,-23.943,31.1411,79.88,69,100,12.21,overcast clouds
122,Puerto Baquerizo Moreno,EC,2021-12-13 00:44:37,-0.9,-89.6,68.94,92,75,8.52,broken clouds
123,Sawakin,SD,2021-12-13 00:44:38,19.1059,37.3321,80.31,72,18,10.58,few clouds
124,Lodwar,KE,2021-12-13 00:44:38,3.1191,35.5973,80.4,46,93,11.54,overcast clouds
125,Antofagasta,CL,2021-12-13 00:35:57,-23.65,-70.4,63.68,82,28,5.17,scattered clouds
126,Quelimane,MZ,2021-12-13 00:43:41,-17.8786,36.8883,82.35,74,0,9.22,clear sky
127,Hofn,IS,2021-12-13 00:36:58,64.2539,-15.2082,38.98,88,100,1.92,overcast clouds
128,Tonj,SS,2021-12-13 00:44:39,7.2737,28.6822,76.75,31,40,3.56,scattered clouds
129,Santander,ES,2021-12-13 00:44:39,43.4647,-3.8044,50.99,93,17,4.07,few clouds
130,Tasiilaq,GL,2021-12-13 00:35:22,65.6145,-37.6368,35.76,88,100,6.87,overcast clouds
131,Aguimes,ES,2021-12-13 00:43:11,27.9054,-15.4461,61.43,77,20,10.36,few clouds
132,Jalu,LY,2021-12-13 00:44:40,29.0331,21.5482,53.17,80,0,8.12,clear sky
133,Sambava,MG,2021-12-13 00:43:59,-14.2667,50.1667,74.73,84,45,7.18,light rain
134,Tahta,EG,2021-12-13 00:40:39,26.7693,31.5021,64.72,40,96,5.73,overcast clouds
135,Kaoma,ZM,2021-12-13 00:38:05,-14.7833,24.8,74.95,39,100,3.33,overcast clouds
136,Codrington,AU,2021-12-13 00:36:14,-38.2667,141.9667,81.82,31,100,17.67,light rain
137,Nouadhibou,MR,2021-12-13 00:37:34,20.931,-17.0347,64.38,72,0,20.71,clear sky
138,Sao Joao Da Barra,BR,2021-12-13 00:35:03,-21.6403,-41.0511,76.33,91,100,18.77,overcast clouds
139,Arlit,NE,2021-12-13 00:37:36,18.7369,7.3853,67.93,8,100,6.02,overcast clouds
140,Kudahuvadhoo,MV,2021-12-13 00:44:23,2.6708,72.8944,79.54,80,92,3.74,overcast clouds
141,Vardo,NO,2021-12-13 00:36:21,70.3705,31.1107,29.46,82,56,26.24,broken clouds
142,Las Palmas,ES,2021-12-13 00:44:41,28.4204,-14.0131,59.79,94,0,6.91,clear sky
143,Wamba,NG,2021-12-13 00:37:26,8.9333,8.6,74.8,21,10,4.72,clear sky
144,Ilulissat,GL,2021-12-13 00:35:27,69.2167,-51.1,19.42,63,75,14.97,broken clouds
145,Laguna,US,2021-12-13 00:35:54,38.421,-121.4238,51.93,90,90,1.99,mist
146,Changji,CN,2021-12-13 00:44:42,44.0167,87.3167,9.39,78,0,2.24,clear sky
147,Begun,IN,2021-12-13 00:44:42,24.9833,75.0,54.72,53,13,3.06,few clouds
148,Harper,LR,2021-12-13 00:36:36,4.375,-7.7169,79.63,84,11,7.49,few clouds
149,Toro,CO,2021-12-13 00:44:43,4.6117,-76.0814,70.48,99,100,2.08,overcast clouds
150,Brigantine,US,2021-12-13 00:44:43,39.4101,-74.3646,44.65,60,1,5.75,clear sky
151,Palm Beach,US,2021-12-13 00:44:43,26.6503,-80.4498,78.96,90,29,7.56,scattered clouds
152,Peniche,PT,2021-12-13 00:37:20,39.3558,-9.3811,59.61,77,8,8.55,clear sky
153,Santa Margherita Ligure,IT,2021-12-13 00:44:44,44.3346,9.212,52.56,74,99,1.99,overcast clouds
154,Thompson,CA,2021-12-13 00:44:45,55.7435,-97.8558,3.36,85,90,0.0,light snow
155,Iqaluit,CA,2021-12-13 00:35:24,63.7506,-68.5145,4.73,65,40,5.01,scattered clouds
156,Goderich,CA,2021-12-13 00:36:20,43.7501,-81.7165,43.12,65,3,20.71,clear sky
157,Acarau,BR,2021-12-13 00:42:43,-2.8856,-40.12,80.51,80,91,17.36,overcast clouds
158,Bourg-En-Bresse,FR,2021-12-13 00:44:45,46.1667,5.1667,39.34,92,63,1.83,broken clouds
159,Umm Lajj,SA,2021-12-13 00:43:36,25.0213,37.2685,76.15,35,100,5.66,overcast clouds
160,Souillac,MU,2021-12-13 00:36:38,-20.5167,57.5167,73.78,88,75,4.61,light rain
161,Umm Kaddadah,SD,2021-12-13 00:44:46,13.6017,26.6876,68.85,34,2,11.21,clear sky
162,Luderitz,NA,2021-12-13 00:35:44,-26.6481,15.1594,61.12,82,39,13.0,scattered clouds
163,Arraial Do Cabo,BR,2021-12-13 00:35:17,-22.9661,-42.0278,74.98,97,100,10.94,light rain
164,Banepa,NP,2021-12-13 00:44:46,27.6298,85.5214,39.52,93,20,2.3,mist
165,Bay Roberts,CA,2021-12-13 00:42:50,47.5999,-53.2648,43.34,86,100,17.0,overcast clouds
166,Uvira,CD,2021-12-13 00:44:47,-3.4067,29.1458,72.81,72,100,1.72,overcast clouds
167,Yining,CN,2021-12-13 00:44:47,29.0361,114.5636,47.7,82,100,1.81,overcast clouds
168,Amapa,BR,2021-12-13 00:37:57,1.0,-52.0,72.41,99,27,2.48,scattered clouds
169,Abu Samrah,SY,2021-12-13 00:43:26,35.3029,37.1841,54.97,48,100,7.9,overcast clouds
170,Eyl,SO,2021-12-13 00:44:48,7.9803,49.8164,74.43,78,6,20.0,clear sky
171,Stornoway,GB,2021-12-13 00:37:10,58.2093,-6.3865,49.96,86,90,18.01,overcast clouds
172,Balkhash,KZ,2021-12-13 00:44:48,46.844,74.9804,28.94,96,100,4.72,overcast clouds
173,Aktau,KZ,2021-12-13 00:35:43,43.65,51.2,19.98,61,0,11.32,clear sky
174,Bonavista,CA,2021-12-13 00:44:49,48.6499,-53.1147,35.6,71,97,30.24,overcast clouds
175,Sinnamary,GF,2021-12-13 00:35:36,5.3833,-52.95,77.02,90,100,9.37,overcast clouds
176,Allonnes,FR,2021-12-13 00:44:49,47.9674,0.1581,50.04,93,90,2.3,overcast clouds
177,Malumfashi,NG,2021-12-13 00:44:50,11.7853,7.6218,67.62,22,100,8.77,overcast clouds
178,Kasempa,ZM,2021-12-13 00:44:50,-13.4584,25.8338,69.67,49,100,1.19,overcast clouds
179,Atar,MR,2021-12-13 00:35:47,20.5169,-13.0499,69.51,17,99,7.56,overcast clouds
180,Buchanan,LR,2021-12-13 00:35:53,5.8808,-10.0467,76.96,83,15,5.35,few clouds
181,Pisco,PE,2021-12-13 00:35:35,-13.7,-76.2167,66.25,88,20,14.97,few clouds
182,Yuksekova,TR,2021-12-13 00:44:50,37.5736,44.2872,31.64,41,100,3.49,overcast clouds
183,Kalabo,ZM,2021-12-13 00:44:51,-14.97,22.6814,75.61,61,100,4.45,overcast clouds
184,Lagos,NG,2021-12-13 00:40:45,6.5833,3.75,78.03,88,91,2.42,overcast clouds
185,Maceio,BR,2021-12-13 00:44:24,-9.6658,-35.7353,78.24,88,40,4.61,scattered clouds
186,Manica,FR,2021-12-13 00:44:51,49.0,-1.1667,49.41,77,100,5.66,overcast clouds
187,Turukhansk,RU,2021-12-13 00:37:50,65.8167,87.9833,-11.45,92,100,4.21,overcast clouds
