City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
98,Victoria,HK,66.25,clear sky,22.2855,114.1577,Mini Hotel Central
101,General Roca,AR,66.61,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
103,Mahibadhoo,MV,80.2,overcast clouds,3.7833,72.9667,Omadhoo Inn
105,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
108,Xuddur,SO,72.54,overcast clouds,4.1213,43.8894,Banjanay Hotel
110,Mar Del Plata,AR,66.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
115,Coxim,BR,76.57,heavy intensity rain,-18.5067,-54.76,Hotel Avenida
119,Conceicao Do Araguaia,BR,75.42,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
121,Phalaborwa,ZA,79.88,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
122,Puerto Baquerizo Moreno,EC,68.94,broken clouds,-0.9,-89.6,Hotel los Algarrobos
123,Sawakin,SD,80.31,few clouds,19.1059,37.3321,فندق الدويم
124,Lodwar,KE,80.4,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
126,Quelimane,MZ,82.35,clear sky,-17.8786,36.8883,Hotel Flamingo
128,Tonj,SS,76.75,scattered clouds,7.2737,28.6822,Lakan Hotel
133,Sambava,MG,74.73,light rain,-14.2667,50.1667,Melrose
135,Kaoma,ZM,74.95,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
136,Codrington,AU,81.82,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
138,Sao Joao Da Barra,BR,76.33,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
139,Arlit,NE,67.93,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
140,Kudahuvadhoo,MV,79.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
143,Wamba,NG,74.8,clear sky,8.9333,8.6,Roma Zee Guest House Annex
148,Harper,LR,79.63,few clouds,4.375,-7.7169,Screensaver
149,Toro,CO,70.48,overcast clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
151,Palm Beach,US,78.96,scattered clouds,26.6503,-80.4498,
157,Acarau,BR,80.51,overcast clouds,-2.8856,-40.12,castelo pizzaria
159,Umm Lajj,SA,76.15,overcast clouds,25.0213,37.2685,Moon light Furnished Units
160,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
161,Umm Kaddadah,SD,68.85,clear sky,13.6017,26.6876,
163,Arraial Do Cabo,BR,74.98,light rain,-22.9661,-42.0278,Pousada Porto Praia
166,Uvira,CD,72.81,overcast clouds,-3.4067,29.1458,Hotel Suzana
168,Amapa,BR,72.41,scattered clouds,1.0,-52.0,
170,Eyl,SO,74.43,clear sky,7.9803,49.8164,Amiin Hotel
175,Sinnamary,GF,77.02,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
177,Malumfashi,NG,67.62,overcast clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
178,Kasempa,ZM,69.67,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
179,Atar,MR,69.51,overcast clouds,20.5169,-13.0499,Oumou Elghoura
180,Buchanan,LR,76.96,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
181,Pisco,PE,66.25,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
183,Kalabo,ZM,75.61,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
184,Lagos,NG,78.03,overcast clouds,6.5833,3.75,
185,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
189,Namibe,AO,70.2,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
190,Quatre Cocos,MU,73.51,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
191,Cap Malheureux,MU,73.89,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
194,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
196,Kruisfontein,ZA,67.89,light rain,-34.0033,24.7314,Oyster Bay House Rental
197,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
198,Sao Gabriel Da Cachoeira,BR,74.95,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
200,La Primavera,CO,80.53,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
204,Pimentel,PE,67.17,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
207,Veraval,IN,71.73,clear sky,20.9,70.3667,Lords Inn Somnath
208,Arinos,BR,72.97,overcast clouds,-15.9169,-46.1056,casa do bruno
209,Lafiagi,NG,76.95,broken clouds,8.8667,5.4167,Bus group international
210,Takoradi,GH,79.86,scattered clouds,4.8845,-1.7554,Raybow International Hotel
211,Imbituba,BR,75.81,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
212,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
216,Bandarbeyla,SO,75.9,clear sky,9.4942,50.8122,JABIR HOTEL
223,Umuahia,NG,75.36,overcast clouds,5.5263,7.4896,Hotel Macbek Limited
224,Monrovia,LR,76.77,scattered clouds,6.3005,-10.7969,Sunset Inn
226,Beloha,MG,72.66,clear sky,-25.1667,45.05,
230,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
233,Farafangana,MG,73.26,scattered clouds,-22.8167,47.8333,Miarina
